id,city,confirmed,died,crued,confirmedRelative,asymptomaticRelative,asymptomatic,nativeRelative,curConfirm
97,新疆_克孜勒苏柯尔克孜自治州,-1,-1,-1,-1,-1,-1,-1,-1
98,新疆_和田地区,-1,-1,-1,-1,-1,-1,-1,-1
99,新疆_图木舒克市,-1,-1,-1,-1,-1,-1,-1,-1
100,新疆_北屯市,-1,-1,-1,-1,-1,-1,-1,-1
101,新疆_五家渠市,-1,-1,-1,-1,-1,-1,-1,-1
102,新疆_双河市,-1,-1,-1,-1,-1,-1,-1,-1
103,新疆_石河子市,-1,-1,-1,-1,-1,-1,-1,-1
104,新疆_可克达拉市,-1,-1,-1,-1,-1,-1,-1,-1
105,新疆_铁门关市,-1,-1,-1,-1,-1,-1,-1,-1
106,新疆_昆玉市,-1,-1,-1,-1,-1,-1,-1,-1
107,新疆_乌鲁木齐市,845,0,845,0,0,0,0,0
108,新疆_第七师市,1,0,1,0,0,0,0,0
109,新疆_第八师市,4,1,3,0,0,0,0,0
110,新疆_吐鲁番市,3,0,3,0,0,0,0,0
111,新疆_伊犁哈萨克自治州,31,0,31,0,0,0,0,0
112,新疆_阿克苏地区,1,0,1,0,0,0,0,0
113,新疆_第九师市,4,1,3,0,0,0,0,0
114,新疆_昌吉州市,5,0,5,0,0,0,0,0
115,新疆_第六师市,2,0,2,0,0,0,0,0
116,新疆_巴音郭楞蒙古自治州,3,0,3,0,0,0,0,0
117,新疆_第十二师市,3,0,3,0,0,0,0,0
118,新疆_第四师市,13,1,12,0,0,0,0,0
119,新疆_喀什地区,80,0,80,0,0,0,0,0
120,新疆_待确认,1,0,1,0,0,0,0,0
121,新疆_博州市,0,0,0,0,0,0,0,0
122,宁夏_中卫市,4,0,4,0,0,0,0,0
123,宁夏_吴忠市,39,0,39,0,0,0,0,0
124,宁夏_银川市,68,0,68,0,0,0,0,0
125,宁夏_宁东管委会市,1,0,1,0,0,0,0,0
126,宁夏_固原市,5,0,5,0,0,0,0,0
127,宁夏_石嘴山市,1,0,1,0,0,0,0,0
128,宁夏_境外输入,4,0,4,0,0,0,0,0
129,内蒙古_锡林郭勒盟,29,0,29,0,0,0,0,0
130,内蒙古_包头市,36,0,33,0,0,0,0,3
131,内蒙古_呼伦贝尔市,611,0,609,0,0,0,0,2
132,内蒙古_呼和浩特市,440,0,436,0,5,0,0,4
133,内蒙古_兴安盟,1,0,1,0,0,0,0,0
134,内蒙古_巴彦淖尔市,11,1,10,0,0,0,0,0
135,内蒙古_赤峰市,9,0,9,0,0,0,0,0
136,内蒙古_通辽市,13,0,9,0,1,0,0,4
137,内蒙古_鄂尔多斯市,15,0,14,0,0,0,0,1
138,内蒙古_乌兰察布市,3,0,3,0,0,0,0,0
139,内蒙古_乌海市,2,0,2,0,0,0,0,0
140,内蒙古_阿拉善盟,167,0,167,0,0,0,0,0
141,内蒙古_境外输入,336,0,336,0,0,0,0,0
142,甘肃_嘉峪关市,-1,-1,-1,-1,-1,-1,-1,-1
143,甘肃_平凉市,9,0,9,0,0,0,0,0
144,甘肃_金昌市,1,0,1,0,0,0,0,0
145,甘肃_天水市,51,0,51,0,0,0,0,0
146,甘肃_张掖市,17,0,17,0,0,0,0,0
147,甘肃_陇南市,6,0,6,0,0,0,0,0
148,甘肃_白银市,21,0,4,0,0,0,0,17
149,甘肃_临夏回族自治州,3,0,3,0,0,0,0,0
150,甘肃_兰州市,276,2,127,16,10,0,16,147
151,甘肃_定西市,9,0,9,0,0,0,0,0
152,甘肃_甘南藏族自治州,8,0,8,0,0,0,0,0
153,甘肃_庆阳市,3,0,3,0,0,0,0,0
154,甘肃_武威市,0,0,0,0,0,0,0,0
155,甘肃_酒泉市,1,0,0,0,0,0,0,1
156,甘肃_境外输入,183,0,144,0,0,0,0,39
157,甘肃_外来人员,1,0,1,0,0,0,0,0
158,甘肃_嘉峪关市,5,0,5,0,0,0,0,0
159,天津_红桥区,25,0,7,0,0,0,0,18
160,天津_和平区,6,0,6,0,0,0,0,0
161,天津_滨海新区,63,0,22,0,0,0,0,41
162,天津_西青区,119,0,18,0,0,0,0,101
163,天津_南开区,31,0,7,0,0,0,0,24
164,天津_河东区,23,1,18,0,0,0,0,4
165,天津_河北区,58,0,56,0,0,0,0,2
166,天津_河西区,27,0,10,0,0,0,0,17
167,天津_外地来津人员,6,0,6,0,0,0,0,0
168,天津_宁河区,4,0,4,0,0,0,0,0
169,天津_宝坻区,66,2,58,0,0,0,0,6
170,天津_东丽区,20,0,5,0,0,0,0,15
171,天津_津南区,363,0,344,0,0,0,0,19
172,天津_北辰区,13,0,7,0,0,0,0,6
173,天津_武清区,129,0,2,0,0,0,0,127
174,天津_静海区,0,0,0,0,0,0,0,0
175,天津_蓟州区,0,0,0,0,0,0,0,0
176,天津_境外输入,594,0,567,1,0,0,0,27
177,天津_待确认,28,0,45,28,0,0,28,0
178,山西_朔州市,8,0,8,0,0,0,0,0
179,山西_晋中市,56,0,52,0,0,0,0,4
180,山西_运城市,25,0,20,0,0,0,0,5
181,山西_阳泉市,4,0,4,0,0,0,0,0
182,山西_吕梁市,6,0,6,0,0,0,0,0
183,山西_大同市,14,0,14,0,0,0,0,0
184,山西_长治市,8,0,8,0,0,0,0,0
185,山西_临汾市,2,0,2,0,0,0,0,0
186,山西_太原市,26,0,21,0,0,0,0,5
187,山西_晋城市,11,0,10,0,0,0,0,1
188,山西_忻州市,8,0,8,0,0,0,0,0
189,山西_境外输入,127,0,127,0,0,0,0,0
190,辽宁_朝阳市,6,1,5,0,0,0,0,0
191,辽宁_铁岭市,10,0,8,0,0,0,0,2
192,辽宁_葫芦岛市,216,1,160,0,0,0,0,55
193,辽宁_锦州市,12,0,12,0,0,0,0,0
194,辽宁_大连市,584,0,470,41,32,0,41,114
195,辽宁_营口市,86,0,11,1,11,0,1,75
196,辽宁_丹东市,11,0,11,0,0,0,0,0
197,辽宁_沈阳市,143,0,81,27,16,0,27,62
198,辽宁_辽阳市,3,0,3,0,1,0,0,0
199,辽宁_盘锦市,12,0,11,0,0,0,0,1
200,辽宁_本溪市,3,0,3,0,0,0,0,0
201,辽宁_鞍山市,4,0,4,0,0,0,0,0
202,辽宁_阜新市,9,0,8,0,0,0,0,1
203,辽宁_抚顺市,1,0,1,0,0,0,0,0
204,辽宁_境外输入,206,0,182,4,30,0,0,24
205,辽宁_待确认,0,0,17,0,0,0,0,0
206,黑龙江_鹤岗市,5,0,5,0,0,0,0,0
207,黑龙江_七台河市,17,0,17,0,0,0,0,0
208,黑龙江_大兴安岭地区,3,0,3,0,0,0,0,0
209,黑龙江_佳木斯市,15,0,15,0,0,0,0,0
210,黑龙江_牡丹江市,73,0,66,0,0,0,0,7
211,黑龙江_鸡西市,52,0,52,0,0,0,0,0
212,黑龙江_绥化市,537,4,533,0,0,0,0,0
213,黑龙江_齐齐哈尔市,45,1,44,0,0,0,0,0
214,黑龙江_双鸭山市,52,3,49,0,0,0,0,0
215,黑龙江_哈尔滨市,648,4,548,20,43,0,20,96
216,黑龙江_大庆市,29,1,28,0,0,0,0,0
217,黑龙江_黑河市,296,0,296,0,0,0,0,0
218,黑龙江_伊春市,1,0,1,0,0,0,0,0
219,黑龙江_境外输入,421,0,413,1,0,0,0,8
220,黑龙江_待确认,2,0,2,0,0,0,0,0
221,海南_白沙黎族自治县,-1,-1,-1,-1,-1,-1,-1,-1
222,海南_五指山市,-1,-1,-1,-1,-1,-1,-1,-1
223,海南_陵水黎族自治县,4,0,4,0,0,0,0,0
224,海南_琼中黎族苗族自治县,1,0,1,0,0,0,0,0
225,海南_琼海市,6,1,5,0,0,0,0,0
226,海南_儋州市,15,1,14,0,0,0,0,0
227,海南_万宁市,13,0,13,0,0,0,0,0
228,海南_东方市,3,1,2,0,0,0,0,0
229,海南_临高县,6,0,6,0,0,0,0,0
230,海南_海口市,41,0,41,0,0,0,0,0
231,海南_澄迈县,9,1,8,0,0,0,0,0
232,海南_三亚市,58,1,54,0,0,0,0,3
233,海南_昌江黎族自治县,7,0,7,0,0,0,0,0
234,海南_定安县,3,1,2,0,0,0,0,0
235,海南_乐东黎族自治县,2,0,2,0,0,0,0,0
236,海南_文昌市,3,0,3,0,0,0,0,0
237,海南_保亭黎族苗族自治县,3,0,3,0,0,0,0,0
238,海南_屯昌县,0,0,0,0,0,0,0,0
239,海南_三沙市,0,0,0,0,0,0,0,0
240,海南_境外输入,19,0,19,0,1,0,0,0
241,河北_张家口市,43,0,43,0,0,0,0,0
242,河北_保定市,48,0,38,0,0,0,0,10
243,河北_邢台市,136,1,98,0,0,0,0,37
244,河北_沧州市,136,3,46,2,5,0,2,87
245,河北_石家庄市,976,1,962,0,0,0,0,13
246,河北_承德市,7,0,7,0,0,0,0,0
247,河北_廊坊市,181,0,39,2,260,0,2,142
248,河北_邯郸市,39,0,32,0,0,0,0,7
249,河北_衡水市,13,0,13,0,0,0,0,0
250,河北_唐山市,58,1,57,0,0,0,0,0
251,河北_秦皇岛市,10,1,9,0,0,0,0,0
252,河北_境外输入,37,0,37,0,0,0,0,0
253,河北_定州市,2,0,2,0,0,0,0,0
254,河北_雄安新区市,18,0,18,0,0,0,0,0
255,河北_辛集市市,71,0,71,0,0,0,0,0
256,陕西_榆林市,3,0,3,0,0,0,0,0
257,陕西_西安市,2279,3,2196,4,0,0,4,80
258,陕西_咸阳市,35,0,31,0,0,0,0,4
259,陕西_商洛市,7,0,7,0,0,0,0,0
260,陕西_安康市,26,0,26,0,0,0,0,0
261,陕西_延安市,21,0,21,0,0,0,0,0
262,陕西_韩城市,1,0,1,0,0,0,0,0
263,陕西_汉中市,54,0,26,4,0,0,4,28
264,陕西_宝鸡市,209,0,13,20,0,0,20,196
265,陕西_渭南市,18,0,18,0,0,0,0,0
266,陕西_铜川市,20,0,8,5,0,0,5,12
267,陕西_杨凌示范区市,2,0,1,0,0,0,0,1
268,陕西_境外输入,483,0,483,0,0,0,0,0
269,云南_迪庆藏族自治州,-1,-1,-1,-1,-1,-1,-1,-1
270,云南_丽江市,7,0,7,0,0,0,0,0
271,云南_红河哈尼族彝族自治州,32,0,9,1,1,0,1,23
272,云南_大理白族自治州,13,0,13,0,0,0,0,0
273,云南_保山市,11,0,9,0,0,0,0,2
274,云南_昭通市,25,0,25,0,0,0,0,0
275,云南_德宏傣族景颇族自治州,358,0,294,4,22,0,4,64
276,云南_曲靖市,13,0,13,0,0,0,0,0
277,云南_西双版纳傣族自治州,20,1,14,0,0,0,0,5
278,云南_玉溪市,14,1,13,0,0,0,0,0
279,云南_普洱市,4,0,4,0,0,0,0,0
280,云南_昆明市,66,0,58,0,1,0,0,8
281,云南_临沧市,12,0,1,0,0,0,0,11
282,云南_楚雄彝族自治州,4,0,4,0,0,0,0,0
283,云南_文山壮族苗族自治州,5,0,2,0,0,0,0,3
284,云南_怒江傈僳族自治州,0,0,0,0,0,0,0,0
285,云南_境外输入,1454,0,1424,1,0,0,0,30
286,云南_待确认,0,0,38,0,0,0,0,0
287,广西_崇左市,-1,-1,-1,-1,-1,-1,-1,-1
288,广西_桂林市,33,0,32,0,0,0,0,1
289,广西_河池市,28,1,27,0,0,0,0,0
290,广西_南宁市,60,0,56,1,0,0,1,4
291,广西_防城港市,90,0,46,0,5,0,0,44
292,广西_贺州市,4,0,4,0,0,0,0,0
293,广西_柳州市,24,0,24,0,0,0,0,0
294,广西_玉林市,11,0,11,0,0,0,0,0
295,广西_北海市,44,1,43,0,0,0,0,0
296,广西_钦州市,27,0,8,1,10,0,1,19
297,广西_梧州市,5,0,5,0,0,0,0,0
298,广西_百色市,279,0,268,0,0,0,0,11
299,广西_贵港市,8,0,8,0,0,0,0,0
300,广西_来宾市,11,0,11,0,0,0,0,0
301,广西_境外输入,725,0,492,2,12,0,0,233
302,广西_崇左市,2,0,1,0,2,0,0,1
303,福建_厦门市,290,0,277,3,0,0,3,13
304,福建_南平市,20,0,20,0,0,0,0,0
305,福建_莆田市,263,0,261,2,1,0,2,2
306,福建_泉州市,472,0,71,247,117,0,247,401
307,福建_漳州市,24,0,23,1,1,0,1,1
308,福建_三明市,15,0,14,0,0,0,0,1
309,福建_宁德市,27,0,26,0,0,0,0,1
310,福建_龙岩市,6,0,6,0,0,0,0,0
311,福建_福州市,73,1,71,1,1,0,1,1
312,福建_境外输入,836,0,772,3,1,0,0,64
313,上海_嘉定区,28,2,7,0,0,0,0,19
314,上海_外地来沪人员,113,1,112,0,0,0,0,0
315,上海_松江区,20,0,16,1,0,0,1,4
316,上海_黄浦区,40,0,22,0,0,0,0,18
317,上海_长宁区,14,0,14,0,0,0,0,0
318,上海_青浦区,9,0,7,0,0,0,0,2
319,上海_闵行区,35,0,19,1,0,0,1,16
320,上海_静安区,34,1,18,0,0,0,0,15
321,上海_虹口区,11,0,7,0,0,0,0,4
322,上海_宝山区,30,1,25,1,0,0,1,4
323,上海_浦东新区,119,1,81,2,0,0,2,37
324,上海_杨浦区,10,0,9,0,0,0,0,1
325,上海_徐汇区,51,1,17,1,0,0,1,33
326,上海_奉贤区,13,0,11,0,0,0,0,2
327,上海_金山区,7,0,4,2,0,0,2,3
328,上海_普陀区,21,0,11,0,0,0,0,10
329,上海_崇明区,4,0,4,0,0,0,0,0
330,上海_境外输入,4404,0,3922,12,6,0,0,482
331,上海_境外来沪人员,1,0,1,0,0,0,0,0
332,上海_待确认,0,0,0,0,366,0,0,0
333,北京_平谷区,-1,-1,-1,-1,-1,-1,-1,-1
334,北京_东城区,31,0,6,1,0,0,1,11
335,北京_海淀区,108,0,26,0,0,0,0,18
336,北京_大兴区,145,0,111,0,0,0,0,11
337,北京_朝阳区,124,0,9,0,0,0,0,39
338,北京_丰台区,350,0,286,0,0,0,0,24
339,北京_门头沟区,6,0,4,0,0,0,0,1
340,北京_通州区,24,0,3,0,0,0,0,3
341,北京_顺义区,48,0,45,0,0,0,0,3
342,北京_石景山区,15,0,12,0,0,0,0,0
343,北京_西城区,69,0,6,0,0,0,0,9
344,北京_怀柔区,8,0,4,0,0,0,0,0
345,北京_昌平区,70,0,50,0,0,0,0,1
346,北京_外地来京人员,25,0,2,0,0,0,0,0
347,北京_房山区,31,0,12,0,0,0,0,6
348,北京_延庆区,1,0,0,0,0,0,0,0
349,北京_密云区,7,0,0,0,0,0,0,0
350,北京_待确认,2,9,430,0,0,0,0,0
351,北京_境外输入,629,0,490,10,6,0,0,139
352,北京_涉冬（残）奥闭环人员,4,0,0,0,0,0,0,4
353,北京_经济开发区,3,0,0,0,0,0,0,3
354,江苏_徐州市,80,0,79,0,0,0,0,1
355,江苏_扬州市,593,0,593,0,0,0,0,0
356,江苏_宿迁市,19,0,16,1,0,0,1,3
357,江苏_镇江市,13,0,12,0,1,0,0,1
358,江苏_连云港市,192,0,74,1,14,0,1,118
359,江苏_无锡市,58,0,55,0,2,0,0,3
360,江苏_泰州市,37,0,37,0,0,0,0,0
361,江苏_盐城市,27,0,27,0,0,0,0,0
362,江苏_淮安市,78,0,78,0,0,0,0,0
363,江苏_南通市,41,0,40,0,0,0,0,1
364,江苏_南京市,334,0,331,0,8,0,0,3
365,江苏_常州市,81,0,54,2,22,0,2,27
366,江苏_苏州市,207,0,205,0,2,0,0,2
367,江苏_境外输入,214,0,187,0,3,0,0,27
368,江苏_待确认,0,0,6,0,0,0,0,0
369,四川_遂宁市,17,0,17,0,0,0,0,0
370,四川_达州市,42,0,42,0,0,0,0,0
371,四川_内江市,22,0,22,0,0,0,0,0
372,四川_广安市,30,0,30,0,0,0,0,0
373,四川_宜宾市,13,0,13,0,0,0,0,0
374,四川_凉山彝族自治州,13,0,13,0,0,0,0,0
375,四川_乐山市,3,0,3,0,0,0,0,0
376,四川_眉山市,9,0,8,0,0,0,0,1
377,四川_德阳市,18,0,18,0,0,0,0,0
378,四川_巴中市,24,0,24,0,0,0,0,0
379,四川_成都市,227,3,188,0,0,0,0,36
380,四川_南充市,39,0,39,0,0,0,0,0
381,四川_泸州市,25,0,25,0,0,0,0,0
382,四川_绵阳市,23,0,23,0,0,0,0,0
383,四川_甘孜藏族自治州,78,0,78,0,0,0,0,0
384,四川_广元市,6,0,6,0,0,0,0,0
385,四川_资阳市,4,0,4,0,0,0,0,0
386,四川_自贡市,10,0,10,0,0,0,0,0
387,四川_雅安市,8,0,8,0,0,0,0,0
388,四川_攀枝花市,16,0,16,0,0,0,0,0
389,四川_阿坝藏族羌族自治州,1,0,1,0,0,0,0,0
390,四川_境外输入,959,0,829,4,4,0,0,130
391,四川_待确认,0,0,36,0,0,0,0,0
392,山东_莱芜市,-1,-1,-1,-1,-1,-1,-1,-1
393,山东_东营市,-1,-1,-1,-1,-1,-1,-1,-1
394,山东_威海市,91,1,37,4,26,0,4,53
395,山东_泰安市,35,2,33,0,0,0,0,0
396,山东_济南市,49,0,49,0,0,0,0,0
397,山东_枣庄市,24,0,24,0,0,0,0,0
398,山东_济宁市,260,0,260,0,0,0,0,0
399,山东_临沂市,62,0,49,6,0,0,6,13
400,山东_青岛市,948,1,84,10,6,0,10,863
401,山东_日照市,35,0,30,0,0,0,0,5
402,山东_菏泽市,18,0,18,0,0,0,0,0
403,山东_聊城市,38,0,38,0,0,0,0,0
404,山东_滨州市,110,0,15,12,111,0,12,95
405,山东_潍坊市,52,0,44,0,3,0,0,8
406,山东_德州市,106,2,35,6,2,0,6,69
407,山东_烟台市,71,0,58,2,1,0,2,13
408,山东_淄博市,74,1,29,2,12,0,2,44
409,山东_境外输入,411,0,327,2,2,0,0,84
410,山东_待确认,0,0,27,0,0,0,0,0
411,江西_吉安市,22,0,22,0,0,0,0,0
412,江西_上饶市,144,0,144,0,0,0,0,0
413,江西_九江市,117,0,117,0,0,0,0,0
414,江西_新余市,129,0,129,0,0,0,0,0
415,江西_抚州市,72,0,72,0,0,0,0,0
416,江西_鹰潭市,18,0,18,0,0,0,0,0
417,江西_宜春市,106,0,106,0,0,0,0,0
418,江西_景德镇市,6,0,6,0,0,0,0,0
419,江西_萍乡市,33,0,33,0,0,0,0,0
420,江西_赣州市,74,1,73,0,0,0,0,0
421,江西_南昌市,234,0,231,2,4,0,2,3
422,江西_赣江新区市,1,0,1,0,0,0,0,0
423,江西_境外输入,6,0,6,0,0,0,0,0
424,重庆_北碚区,-1,-1,-1,-1,-1,-1,-1,-1
425,重庆_南川区,-1,-1,-1,-1,-1,-1,-1,-1
426,重庆_奉节县,22,0,22,0,0,0,0,0
427,重庆_武隆县,1,0,1,0,0,0,0,0
428,重庆_永川区,7,0,5,0,0,0,0,2
429,重庆_两江新区,18,0,18,0,0,0,0,0
430,重庆_渝北区,20,0,17,1,0,0,1,3
431,重庆_开州区,21,1,20,0,0,0,0,0
432,重庆_丰都县,10,0,10,0,0,0,0,0
433,重庆_巫山县,10,0,10,0,0,0,0,0
434,重庆_大足区,14,0,14,0,0,0,0,0
435,重庆_忠县,21,0,21,0,0,0,0,0
436,重庆_云阳县,25,0,25,0,0,0,0,0
437,重庆_璧山区,9,0,9,0,0,0,0,0
438,重庆_九龙坡区,22,1,21,0,0,0,0,0
439,重庆_潼南区,18,0,18,0,0,0,0,0
440,重庆_大渡口区,7,0,7,0,0,0,0,0
441,重庆_梁平县,4,0,4,0,0,0,0,0
442,重庆_秀山土家族苗族自治县,1,0,1,0,0,0,0,0
443,重庆_万州区,118,4,114,0,0,0,0,0
444,重庆_南岸区,15,0,15,0,0,0,0,0
445,重庆_石柱土家族自治县,15,0,15,0,0,0,0,0
446,重庆_涪陵区,5,0,5,0,0,0,0,0
447,重庆_江北区,28,0,28,0,0,0,0,0
448,重庆_綦江区,24,0,24,0,0,0,0,0
449,重庆_巫溪县,14,0,14,0,0,0,0,0
450,重庆_长寿区,24,0,24,0,0,0,0,0
451,重庆_城口县,2,0,2,0,0,0,0,0
452,重庆_合川区,23,0,23,0,0,0,0,0
453,重庆_垫江县,20,0,20,0,0,0,0,0
454,重庆_江津区,7,0,6,0,0,0,0,1
455,重庆_黔江区,2,0,2,0,0,0,0,0
456,重庆_渝中区,20,0,20,0,0,0,0,0
457,重庆_巴南区,11,0,7,1,0,0,1,4
458,重庆_铜梁区,10,0,10,0,0,0,0,0
459,重庆_荣昌区,9,0,9,0,0,0,0,0
460,重庆_沙坪坝区,10,0,10,0,0,0,0,0
461,重庆_高新区,46,0,4,1,0,0,1,42
462,重庆_彭水苗族土家族自治县,2,0,2,0,0,0,0,0
463,重庆_酉阳土家族苗族自治县,1,0,1,0,0,0,0,0
464,重庆_境外输入,44,0,33,0,3,0,0,11
465,安徽_安庆市,83,0,83,0,0,0,0,0
466,安徽_芜湖市,34,0,34,0,0,0,0,0
467,安徽_亳州市,108,0,108,0,0,0,0,0
468,安徽_黄山市,9,0,9,0,0,0,0,0
469,安徽_淮北市,27,0,27,0,0,0,0,0
470,安徽_蚌埠市,160,5,155,0,0,0,0,0
471,安徽_马鞍山市,40,0,38,0,8,0,0,2
472,安徽_铜陵市,31,0,29,0,7,0,0,2
473,安徽_池州市,17,0,17,0,0,0,0,0
474,安徽_宿州市,42,0,42,0,0,0,0,0
475,安徽_合肥市,176,1,175,0,0,0,0,0
476,安徽_宣城市,6,0,6,0,0,0,0,0
477,安徽_滁州市,13,0,13,0,0,0,0,0
478,安徽_阜阳市,156,0,156,0,0,0,0,0
